MessageID,Sender,TimeSubmitted,MessageText,URL,Subdomain,SLD,TLD,RedirectedURL,Brand,DomainRegistrar,DomainCreationDate,DomainLastUpdateAtSubmission,DomainLastUpdate,DomainStatus,DomainActiveFor,Detected,Malicious,Malware,Phishing,Suspicious,ImageText
11,+1 (859) 398-4745,03/04/2022 02:17,"dear. you are invited to join the (bitcoin) internal discussion group. the team will publish daily how to make a profit in the bitcoin market. reply to the number ""1"" and click the link to join. https://chat.whatsapp.com/ djci pb8b7gtggt16qj5mjm",https://chat.whatsapp.com/DjciPB8b7gTGGt16QJ5mJm,chat,whatsapp,com,https://chat.whatsapp.com/DjciPB8b7gTGGt16QJ5mJm?_fb_noscript=1,Whatsapp,"RegistrarSafe, LLC",04/09/2008,27/09/2023,27/09/2023,Active,5808,0,0,0,0,1,"<8 +1(859) 398-4745 CX &

Mon, Dec 13

@ Messages and calls are end-to-end
encrypted. No one outside of this chat, not
even WhatsApp, can read or listen to them.

Tap to learn more.

Dear. You are invited to join the
(Bitcoin) internal discussion group.
The team will publish daily how to
make a profit in the Bitcoin market.
Reply to the number ""1"" and click
the link to join.
https://chat.whatsapp.com/
DjciPB8b7gTGGt16QJ5mJm

11:17 AM

You blocked this contact. Tap to unblock.
"
12,+1 (626) 628-7248,03/04/2022 02:43,"citi: unauthorized activity was detected, we have moved foward in locking your account. please verify at http://citibsec.com or at a local branch.",http://citibsec.com,,citibsec,com,http://citibsec.com/,CITI,,,,,Inactive,,0,0,0,0,0,"®

+1 (626) 628-7248 >

Text Message
Monday 4:00 PM

CITI: Unauthorized activity was detected,
we have moved foward in locking your
account. Please verify at http://
citibsec.com or at a local branch.

a 6)
"
13,+1 (805) 419-0678,03/04/2022 03:48,"evanie, i'm anna, how have you been, i'm back in denver.",,,,,,,,,,,,,,,,,,"*)
sl

9:47 qa ef
+1 (805) 419-0678
Siri Found a Contact

Anna Add
+1 (805) 419-0678

Text Message
Monday 11:51 AM

Evanie, I'm Anna, how have you been,
I'm back in Denver.

a ©
*6O@62 000

"
14,+1 (646) 699-9070,03/04/2022 03:51,"hello! i'm amy. are you annie? i'm really sorry. i dialed the wrong number. and i thought you were my friend. it was so embarrassing. have a nice day. thank you. you're a really nice guy, and today was really awkward, but it's nice to meet you as a new friend.",,,,,,,,,,,,,,,,,,"*)
°

9:49 V |

‘ vy

+1 (646) 699-9070

Text Message
Tue, Mar 15, 8:06 PM

Hello!

I'm Amy. Are you Annie?

I'm really sorry. | dialed the wrong
number. And | thought you were my
friend.

It was so embarrassing. Have a nice
day.

Thank you. You're a really nice guy,
and today was really awkward, but
IT's nice to meet you as a new friend.

a ©
*O@O@6@2006

"
15,(803) 307-�,03/04/2022 04:13,"bofa:your account has been restricted, visit secbofa.page.link/nlt",secbofa.page.link/NLt,secbofa,page,link,https://secbofa.page.link/NLt,Bank of America,MarkMonitor Inc.,09/02/2017,22/02/2023,13/01/2024,Active,2728,0,0,0,0,0,"O-11 i# oe i 2» RO)

€ (803)307-. MH GY Q@ :

Sunday, Jan 16 - 6:09 PM

BofA:Your account has
been restricted, v isit

secbofa.page.link/NLt

Jan 16, 6:09 PM

G) [fy Textmessage © YF
"
16,+1 (628) 946-9349,03/04/2022 04:42,https://rebrand.ly/grppwwr avoi6y,https://rebrand.ly/grppwwr,,rebrand,ly,https://rebrandly.com/not-found,,GANDI SAS,12/09/2014,,14/07/2024,Active,3609,0,0,0,0,0,"9:39

+1 (628) 946-9349

Text Message
Yesterday 8:52 AM

AvOI6Y

a ©
"
17,6797002222,03/04/2022 17:31,"amazing news!, your application has been accepted. finish the process: http://klkln.cc/vnbcbtd",http://klkln.cc/vnbcbtd,,klkln,cc,,,,,,,Inactive,,1,1,0,0,1,"Friday, March 25, 2022

Amazing news! , your
application has been
accepted. Finish the

process: http://klkIn

.cc/vnbcbtd 2:25 PM
"
18,18722795385,04/04/2022 07:40,https://b.link/h21bc br7ca2,https://b.link/h21bc,,b,link,,,"Name.com, Inc.",24/03/2015,15/12/2020,15/12/2020,Inactive,2094,0,0,0,0,0,"12:36 & N @ e BNA ll B

< 418722795385 . OO :

Add to contacts Block number

Saturday, March 19, 2022

@ https://b.link/h21bc br7ca2

9:03 AM

A Oo + et

lI O <
"
19,17272974784,04/04/2022 14:51,"hey niaz, help us answer a fast survey. we will give you a free watch in return. lksr.link/9pvvbf txt stop to end",lksr.link/9pvvbF,,lksr,link,http://lksr.link/9pvvbF,,,,,,Inactive,,0,0,0,0,2,"5:49 F OE - ce @ Aull 60%

K +17272974784~

Monday, January 24, 2022

Hey Niaz, help us answer a
fast survey.
We will give you a free watch

in return.

Iksr.link/9pvvbF

Txt Stop to end 10:47 AM

& + | 2)

II O <
"
20,,04/04/2022 20:43,don't get hooked by phishers.,,,,,,,,,,,,,,,,,,"Lo

"
21,,05/04/2022 01:05,hi! i am lisa's friend. are you the smith that lisa recommended to me? i am erin.,,,,,,,,,,,,,,,,,,"Text Message
Fri, Mar 25, 6:06 PM

Hi! | am Lisa's friend. Are you the
Smith that Lisa recommended to me?
1am Erin.

ag ©

"
22,1410100017,05/04/2022 03:34,1 of 2 frm:japho-fe d3x.ne.ws - msg: unsuccessful package from 1 april owed to you. kindly assume ownership and confirm for delivery. (con't) 2 of 2 https://wwj4w-fedex.us/jwxhwj?47965169(end) o?,https://wwj4w-fedex.us/jWXHwj?47965169,,wwj4w-fedex,us,,FedEx,,,,,Inactive,,0,0,0,0,0,"Qe

1410100017

Text Message
Today 8:14 PM

1 of 2

FRM:japho-Fe d3x.News -
MSG:Unsuccessful package from 1
April owed to you. Kindly assume
ownership and confirm for delivery.
(Con't) 2 of 2

47965169(End)

a &
"
23,bofa-rjt@rjt.craftybrid,05/04/2022 07:34,<subject: c4c26> z??? bank of america hurry up ! offers have arrived! ($$90 value). /.//storag e.googleapis.com/jzoxubc/1fhg3lf bank of america,storage.googleapis.com/jzoxubc/1fhg3lf,storage,googleapis,com,http://storage.googleapis.com/jzoxubc/1fhg3lf,Bank of America,"MarkMonitor, Inc.",25/01/2005,24/12/2022,24/12/2023,Active,7126,0,0,0,0,0,"< 8 bofa-rjt@rjt.craftybrid...

Sunday, March 6, 2022

<Subject: c4c26>

29 OO»

Bank Of America
Hurry up ! Offers
Have arrived! ($$90
value). /.//storag
e.googleapis.com/
jzoxubc/1fhg3lf

ZG,

BANK OF AMERICA

MMS 4:51 PM

Vv
"
24,13062612845,07/04/2022 03:29,you received money. reply <<ok>> for details.,,,,,,,,,,,,,,,,,,"9:27 ome. Fe alll 100%
< & 13062612845 ~

Saturday, April 2, 2022

You received
money. Reply

«ok) for details. .....

4 +f © lr

i O <
"
25,16286887374,08/04/2022 12:35,"<subject: nosubject> free msg: your bill is paid for march. thanks, here's a little gift for you: mentioningdears.com/nzwjdtrm93",mentioningdears.com/nzWjdtrM93,,mentioningdears,com,http://mentioningdears.com/nzWjdtrM93,,,,,,Inactive,,8,3,0,5,0,"06:31 4 &® « QA Bll 58%m

< +16286887374 . Qi:

Add to contacts Block number

Thursday, April 7, 2022

MMS
19:35

Ao+ | Pip

II O <
"
26,13479909649,08/04/2022 18:34,"<subject: nosubject> free msg: your bill is paid for march. thanks, here's a little gift for you: sirreeprematurely.com/x9csse4sfa",sirreeprematurely.com/X9cSSE4SfA,,sirreeprematurely,com,http://sirreeprematurely.com/X9cSSE4SfA,,DropCatch.com 1276 LLC,23/06/2023,,24/07/2024,Active,403,0,0,0,0,0,"12:340&@4° GAB Sl 14%8

< 13479909649 . Qi:

Add to contacts Block number

Friday, April 8, 2022

aa ogo + e shi

HI O <
"
27,12136480125,08/04/2022 21:28,your 2021 auto-policy may have been over-charged by 1275. check for possible cashbackfor 2022. xyzthriftyquotes.com/60ef6eec47,xyzthriftyquotes.com/60ef6eec47,,xyzthriftyquotes,com,http://xyzthriftyquotes.com/60ef6eec47,CashBack,,,,,Inactive,,0,0,0,0,0,"12:26

< 412136480125

Add to contacts

QA ul

Friday, April 8, 2022

Your 2021 Auto-Policy may have
BeenOver-charged by 1275. Check
for Possible CashBackfor 2022.
xyzthriftyquotes.com/60ef6eec47

o +

Il O

GQ

Block number

10:36

&
"
28,1410100014,08/04/2022 21:46,"frm:719132-fed_ex.906697 msg:flm-;it will be returned to sender, we have made several attempts to reach you, https://jf245-fedex.me/y.jdxio?37588372",https://jf245-fedex.me/y.jDxio?37588372,,jf245-fedex,me,,FedEx,,,,,Inactive,,2,0,0,2,0,"12:42 o! 5GE@_)

:

1410100014

Text Message
Yesterday 4:33 PM

FRM:719132-Fed_EX.906697
MSG:flm-;it will be returned to
sender,We have made several
attempts

to fetal you,

37588372

a ©)
o@® = @Qe@

"
29,13465026147,08/04/2022 22:03,"dale we are interested in buying your home for cash, as-is, at or above any valid offer. valid: 4/8 wepay-topvalue.com/bf2f414d45",wepay-topvalue.com/bf2f414d45,,wepay-topvalue,com,http://wepay-topvalue.com/bf2f414d45,wepay,,,,,Inactive,,0,0,0,0,0,"13:01 Gd
< +13465026147 &. Q
Add to contacts Block number

Friday, April 8, 2022

Dale We are interested in buying

your home for cash, as-is, at or

above any valid offer. Valid: 4/8
wepay-topvalue.com/bf2f414d45 one

o + &

Il O <

ONS ull
"
30,+1 (971) 895-6479,09/04/2022 00:44,"free msg: your bill is paid for march. thanks, here's a little gift for you: vocalsprolonged.com/zsgingd6vi",vocalsprolonged.com/ZSgingd6vi,,vocalsprolonged,com,http://vocalsprolonged.com/ZSgingd6vi,,,,,,Inactive,,10,5,3,2,0,"s] 9 eh
‘ ""O500

20 People »

Text Message
Yesterday 5:04 PM

+1 (971) 895-6479

Free Msg: Your bill is paid for
March. Thanks, here's a little
gift for you:
vocalsprolonged.com/

@ Zssinadevi

a &
"
31,+1 (929) 553-5242,09/04/2022 01:11,"free msg: your bill is paid for march. thanks, here's a little gift for you: reamvino.com/svjmeq1ekd",reamvino.com/SvjMeq1eKD,,reamvino,com,http://survey-smiles.com/,,Media Elite Holdings Limited,21/06/2018,,23/03/2022,Active,2231,8,6,1,1,3,"Text Message
Today 3:07 PM

+1 (929) 553-5242

Free Msg: Your bill is paid for March.
Thanks, here's a little gift for you:
reamvino.com/SvjMeqieKD
"
32,+1 (929) 406-7185,09/04/2022 01:44,"free msg: your bill is paid for march. thanks, here's a little gift for you: slappingtasting.com/hamw6pokcc",slappingtasting.com/Hamw6PokCc,,slappingtasting,com,http://slappingtasting.com/Hamw6PokCc,,,,,,Inactive,,0,0,0,0,0,"11:47 9 0 5G 8)

Text Message
Today 11:46 AM

+1 (929) 406-7185

Free Msg: Your bill is paid for

March. Thanks, here's a little gift

for you: slappingtasting.com/
sg Hamw6PokCc

a ©)
0o@@@0@0 - ©

"
33,+1 (612) 369-6667,09/04/2022 01:48,"wells fargo: update>: a decision has been made, your account is suspended. visit http://verifywellsfargo.ga to regain access now! this action takes few seconds. o� a",http://VERIFYWELLSFARGO.GA,,VERIFYWELLSFARGO,GA,http://verifywellsfargo.ga/,WELLS FARGO,,,,,Inactive,,1,1,0,0,1,"3:30

+1 (612) 369-6667

Text Message
Yesterday 3:11 PM

WELLS FARGO: Update>: A
decision has been made, your
account is suspended. Visit
http://VERIFYWELLSFARGO.GA
to regain access now! This
action takes few seconds.

a &
"
34,+1 (929) 823-5239,09/04/2022 01:49,"free msg: your bill is paid for march. thanks, here's a little gift for you: flimsyfooting.com/rugsjp91a6",flimsyfooting.com/RugSJP91a6,,flimsyfooting,com,http://flimsyfooting.com/RugSJP91a6,,"GoDaddy.com, LLC",11/07/2023,,16/07/2024,Inactive,372,7,2,5,0,0,"3:30 awa >

a)
2a

19 People

Text Message
Today 3:30 PM

+1 (929) 823-5239

Free Msg: Your bill is paid for
March. Thanks, here's a little gift
for you: flimsyfooting.com/

ey RugSJP91a6

a &

You're welcome No problem Ok

QW ER TT Y Ut O P

SY

ff  )

123 space return

® O

"
35,+1 (872) 985-5826,09/04/2022 03:55,"free msg: your bill is paid for march. thanks, here's a little gift for you: clowningbacking.com/zoknsjftjt",clowningbacking.com/ZOKNSJFtJT,,clowningbacking,com,http://clowningbacking.com/ZOKNSJFtJT,,,,,,Inactive,,0,0,0,0,0,"6:52 us

Text Message
Today 6:52 PM

+1 (872) 985-5826

Free Msg: Your bill is paid for March.
Thanks, here's a little gift for you:
pa clowningbacking.com/ZOKNSJFtJT

gg ©)
0 ®@ «» SoS @@ »

"
36,(929) 823-5323,09/04/2022 04:27,"free msg: your bill is paid for march. thanks, here's a little gift for you: catererhunger.com/okk7d5ha2y",catererhunger.com/Okk7d5ha2y,,catererhunger,com,http://survey-smiles.com/,,Media Elite Holdings Limited,21/06/2018,03/07/2023,23/03/2022,Active,2231,8,6,1,1,3,"Free Msg: Your bill is paid for
March. Thanks, here's a little gift
for you: catererhunger.com/
Okk/7d5ha2y

"
37,(141) 010-0029,09/04/2022 05:38,frm:chasebanking-alert-3887 subj:call: 812.809.4904 now! msg:msg 17001 account.locked!,,,,,,Chase Bank,,,,,,,,,,,,"(141) 010-0029
(141) 010-0029

@ (141) 010-0029

FRM:ChaseBanking-Alert-3887
‘SUBJ:CALL: 812.809.4904 Now!
MSG:MSG 17001 Account.Locke

&O
"
38,13474388052,09/04/2022 23:34,"<subject: nosubject> free msg: your bill is paid for march. thanks, here's a little gift for you: fritzclosets.com/pv06exwsdv",fritzclosets.com/PV06ExwSdV,,fritzclosets,com,http://fritzclosets.com/PV06ExwSdV,,,,,,Inactive,,0,0,0,0,0,"17:32 @ 0 < OA Sl 98%H

< 13474388052 ,. Q :

Add to contacts Block number

Saturday, April 9, 2022

aa ogo + e shi

II O <
"
39,+61 431 599 776,10/04/2022 03:16,you'll get @ your package today! http://www.webpage.ren/b/lc/? bfx.08&08z-mkq o a text message,http://www.webpage.ren/b/lc/?bfX.08&08z-mkq,www,webpage,ren,https://www.webpage.ren/b/lc/?bfX.08&08z-mkq,,"DNSPod, Inc.",12/04/2021,,14/04/2021,Active,1205,2,1,1,0,0,"8:38 7 a

:

+61 431 599 776

”)
5

Text Message
Today 8:00 pm

You'll get @ your package TODAY!
http://www.webpage.ren/b/Ic/?
bfX.08&08z-mkq

a &
O@o2@@@

"
40,+1 (305) 413-8648,10/04/2022 03:39,"pending delivery: hi, your package containing tracking code 71623881ls5 is waiting for you to confirm the shipment address: holdingspothere.com/8930er",holdingspothere.com/8930er,,holdingspothere,com,http://holdingspothere.com/8930er,,,,,,Inactive,,0,0,0,0,0,"7:07 oll LTE Ga)

:

+1 (305) 413-8648

Text Message
Today 5:36 AM

Pending Delivery: Hi, your package
containing tracking code
71623881LS5 is waiting for you to
confirm the shipment address:
holdingspothere.com/893oer

a ©)
"
41,(575) 888-2049,10/04/2022 03:51,"the classsuit trial has ended and your $19,038 settlement allocation is ready; congrats to the people! settclss.com/ccn26dr stop to end",settclss.com/Ccn26dr,,settclss,com,http://settclss.com/Ccn26dr,,,,,,Inactive,,0,0,0,0,0,"21:46 | 5.5KB/s 2 @& iatttl G8):

€ (575) 888-2049 mm & Q :

2+ Save +15758882049? x
Saving this contact also moves the conversation
to Personal

Report spam Add contact

Thursday * 22:20
Texting with (575) 888-2049 (SMS/MMS)
The ClassSuit TRIAL has ended
and YOUR $19,038 settlement
allocation is READY; CONGRATS

to the People! settclss.com/
Ccn2édr stop to end

C

Tap to load preview

Thu 22:20

CG) [fj Text message ©

C

| @ > |
"
42,,10/04/2022 04:34,bangladesh,,,,,,,,,,,,,,,,,,
43,+1 (240) 889-9403,10/04/2022 05:08,"free msg: your bill is paid for march. thanks, here's a little gift for you: warrantgeneration.com/rscollrdrs",warrantgeneration.com/RsCoLlrDrs,,warrantgeneration,com,http://warrantgeneration.com/RsCoLlrDrs,,,,,,Inactive,,1,1,0,0,0,"10:06 al > @)

Text Message
Today 7:21 PM

+1 (240) 889-9403

Free Msg: Your bill is paid for
March. Thanks, here's a little gift
for you: warrantgeneration.com/

ey RsCoLIrDrs

a &)
"
44,+1 (706) 218-1878,10/04/2022 07:23,"free msg: your bill is paid for march. thanks, here's a little gift for you: unselfishdumplings.com/lkxh4n4wz3",unselfishdumplings.com/LKXH4N4WZ3,,unselfishdumplings,com,http://unselfishdumplings.com/LKXH4N4WZ3,,,,,,Inactive,,0,0,0,0,0,"10:21 |

*)
'

2

Text Message
Today 7:47 PM

+1 (706) 218-1878

Free Msg: Your bill is paid for March.
Thanks, here's a little gift for you:
pa unselfishdumplings.com/LKXH4N4WZ3

ag &
O@-©@@s-s

"
45,+1 (713) 518-5061,10/04/2022 07:24,"free msg: your bill is paid for march. thanks, here's a little gift for you: purposeliberals.com/yf70snqokv",purposeliberals.com/yF70SNqOKV,,purposeliberals,com,http://purposeliberals.com/yF70SNqOKV,,,,,,Inactive,,0,0,0,0,0,"10:21 |

*)
'

2

Text Message
Yesterday 1:56 PM

+1 (713) 518-5061

Free Msg: Your bill is paid for March.
Thanks, here's a little gift for you:

Cg ©
O@- ©6@@e-

"
46,,10/04/2022 10:56,here it’s asif to work,,,,,,,,,,,,,,,,,,"Facebook
"
47,37588372,10/04/2022 11:08,"free msg: your bill is paid for march. thanks, here's a little gift for you: purposeliberals.com/yf70snqokv",purposeliberals.com/yF70SNqOKV,,purposeliberals,com,http://purposeliberals.com/yF70SNqOKV,,,,,,Inactive,,0,0,0,0,0,"12:42 »// 5GE@_)

®

1410100014

Text Message
Yesterday 4:33 PM

FRM:719132-Fed_EX.906697
MSG:flm-;it will be returned to
sender,We have made several
attempts

to reach you,
https://jf245-fedex.me/yiDxio?
37588372

a ©
o@®~ s@@0@e@

"
48,19144464726,10/04/2022 22:31,citii bank: please visit here and complete your debit pin again: https://bit.ly/35xs2rw,https://citi-debit04.myftp.org/index.php?login,citi-debit04,myftp,org,,CITI,"Vitalwerks Internet Solutions, LLC DBA No-IP",10/02/2000,,15/03/2022,Active,8937,0,0,0,0,0,"427@U&#UEkKtM@\ B9Sw oe

< +19144464726 & Qi

Add to contacts Block number

Sunday, April 10, 2022

f£ citii bank: Please visit here and complete
your debit pin again: https://bit.ly/35Xs2rW 3.43 py

Aan | a

Il O <
"
49,md.kuddusboyati01717273528@gmail.com,11/04/2022 06:20,http://gs80xb1u7wy5vb.deals,http://gs80xb1u7wy5vb.deals,,gs80xb1u7wy5vb,deals,http://gs80xb1u7wy5vb.deals/,,,,,,Inactive,,0,0,0,0,0,"te
2

ee?
""a602

20 People >

Text Message
Today 12:12 AM

md.kuddusboyati01717273528@gmail.com

http://
qs80xb1u7wy5vb.deals
"
50,8.80E+12,13/04/2022 15:25,"u are selected for the work from home job offer receive your daily salary 2,666tk, contact whatsapp http://www.cxes.click/2jkzzoex",http://www.cxes.click/2JkZZoeX,www,cxes,click,,Whatsapp,"Name.com, Inc.",09/11/2020,,06/07/2024,Inactive,1336,0,0,0,0,0,"< mouse OO

"
51,+1 (650) 761-9946,15/04/2022 15:31,"hims: zeus, thanks for submitting your visit. your information is being reviewed by a healthcare provider now. keep an eye out for a message from them shortly. msg&data rates may apply. reply stop to cancel or help for assistance.",,,,,,hims,,,,,,,,,,,,"+1 (650) 761-9946

Text Me
Today 1:

hims: Zeus, thanks for
submitting your visit. your
information is being reviewed
by a healthcare provider now.
keep an eye out for a message
from them shortly.

Msg&Data rates may apply.

Reply STOP to cancel or HELP
for assistance.

*08@200 €
"
52,support@citibank.gedu,19/04/2022 18:47,"citi: we blocked your account due to unusual activity, please visit (www.citibankaccount.info) to verify your account.",www.citibankaccount.info,www,citibankaccount,info,http://www.citibankaccount.info/,CITI,,,,,Inactive,,8,4,0,4,0,"all Verizon © 9:08 AM 7 66%)

< support@citibank.gedu...

Text Message
Yesterday 11:58 PM

Citi : We blocked your account
due to unusual activity , please
visit

( www.citibankaccount.info ) to
verify your account.

a &
"
53,12033587539,28/04/2022 16:38,it's nicole again office: 18665841391 it appears you may be eligible for compensation on your injury. can you give me a quick call please? - stop to stop,,,,,,STOP,,,,,,,,,,,,"10:36M© @ ° @AEB =! 100%H

€ +12033587539 . Q

Add to contacts Block number

Thursday, April 28, 2022

(3) It's Nicole again Office:
18665841391 It appears
you may be eligible for
compensation on your
Injury. Can you give me a
quick call please? - STOP to
STOP 10:04

aa ao + ica shi

lI O <
"
54,17203471494,04/05/2022 14:18,[citi alert 05.02.2022] debit card associated with acct*8139 is locked. vist bit.ly/89bnsg81289 at earliest convenience. stop=end|help=help,bit.ly/89BNsg81289,,bit,ly,http://bit.ly/89BNsg81289,CITI,Libyan Spider Network (int),17/05/2008,,18/04/2022,Active,5918,2,0,0,2,1,"S16M@euve~eGtws@nvroh:: Qe ull

< +17203471494 eC Qi

Add to contacts Block number

Wednesday, May 4, 2022

e [CITI Alert 05.02.2022)

Debit card associated with Acct*8139 is

locked.

Vist bit.ly/89BNsg81289

at earliest convenience.

Stop=end|Help=help 12:31 AM

| nL
"
55,who-jobs-hitbitz-com.blogspot.c...,06/05/2022 10:54,"help us fight coronavirus by working from home - no experience required sms sending job work 2-3 hours daily on mobile and earn $5-$100 daily click here and apply now http://bit.ly/who-jobs-offer vacancy till 31st march,2020",http://who-jobs-hitbitz-com.blogspot.com/,who-jobs-hitbitz-com,blogspot,com,,WHO,"MarkMonitor, Inc.",31/07/2000,,29/06/2024,Active,8765,0,0,0,0,0,"WHO-jobs-hitbitz-com
...Claim Now

hn-inhc_hithit7_-rnam | NaAannt ce

JOB AT WORLD HEALTH
ORGANISATION

Help us fight CORONAVIRUS by
working from home - No experience
required SMS sending JOB
Work 2-3 hours daily on mobile
and earn $5-$100 daily
Click Here And Apply Now

http://bit.ly/WHO-Jobs-Offer

Vacancy till 31st march,2020
12:55 pm
"
56,+254 703 193729,06/05/2022 14:41,dear. you will be invited to the (btc) internal discussion group. the group will post daily how to earn $500-15000usd in the crypto market. reply: 1 and click the link to enter: https://chat.whatsapp.com/e29zpfvxdlcdu0lz6g5pju,https://chat.whatsapp.com/E29ZpfVxDLCDU0lz6g5Pju,chat,whatsapp,com,https://chat.whatsapp.com/E29ZpfVxDLCDU0lz6g5Pju?_fb_noscript=1,Whatsapp,"RegistrarSafe, LLC",04/09/2008,,27/09/2023,Active,5808,0,0,0,0,1,"<3. Gy #254708 198720 on

Tue, Apr 26

|@ Messages and calls ae end-to-end encrypted
'No ane outside of this chat, not even WhatsApp,
‘ean read or isten to them, Tap to learn more,

Dear. You will be invited to the (BTC)

internal discussion group. The group will

ost daily how to earn $500-15000USD in

‘the crypto market. Reply: 1 and Click the

link to enter:

I p.com

E29ZpfVxDLCDUOIZ6q5Pju 4:30AM

TY fe

You blocksatls contac. Tap to unblock

"
57,,18/05/2022 20:22,test,,,,,,,,,,,,,,,,,,
58,+1 (346) 504-1114,18/05/2022 20:27,https://saveonautocoverage3.me/1nhqebd4fah6 we may owe you as much as 779.04. a new finding may have caused us to charge you too much last year. your savings is ready -,https://saveonautocoverage3.me/1nhQEbD4FaH6,,saveonautocoverage3,me,,,,,,,Inactive,,0,0,0,0,0,"11:25

+1 (346) 504-1114

Text Message
Mon, Apr 25, 9:28 AM

https://

saveonauwtocoverage3.me/
InhQEbD4FaH6

We may owe you as much as
779.04. A new finding may have
caused us to charge you too
much last year. Your savings is
ready -

a &

oe»)
"
59,gxfcljd@163.com,20/05/2022 01:42,"this is the novel coronavirus insurance service based on the current outbreak. the premium for covid-19 insurance is $1,000. if you are diagnosed with covid-19, you can get a lump sum of $30,000. in the case of home isolation or hospital isolation, you can get $300 per day for up to 21 days to consult whatsapp:4423798151",,,,,,Whatsapp,,,,,,,,,,,,"11:00 wo ee)

gxfcljd@163.com

iMessage
Today 10:55 AM

This is the Novel Coronavirus
insurance service based on the
current outbreak. The premium
for COVID-19 insurance is
$1,000. If you are diagnosed
with COVID-19, you can get a
lump sum of $30,000. In the
case of home isolation or
hospital isolation, you can get
$300 per day for up to 21 days
to consult
Whatsapp:4423798151

The sender is not in your contact list.

Report Junk

* OO@QOaO0O6
"
